run_index;run_id;status;
0;rust-master x rust-v0.47.0;pass;
1;rust-master x rust-v0.46.0;pass;
2;rust-master x rust-v0.45.1;pass;
3;rust-master x rust-v0.44.0;pass;
4;rust-master x go-master;pass;
5;rust-master x go-v0.22;pass;
6;rust-master x go-v0.21;pass;
7;rust-master x go-v0.20;pass;
8;rust-master x go-v0.19;pass;
9;rust-master x go-v0.17;pass;
10;rust-master x go-v0.11;pass;
11;rust-v0.47.0 x rust-v0.46.0;pass;
12;rust-v0.47.0 x rust-v0.45.1;pass;
13;rust-v0.47.0 x rust-v0.44.0;pass;
14;rust-v0.47.0 x go-master;pass;
15;rust-v0.47.0 x go-v0.22;pass;
16;rust-v0.47.0 x go-v0.21;pass;
17;rust-v0.47.0 x go-v0.20;pass;
18;rust-v0.47.0 x go-v0.19;pass;
19;rust-v0.47.0 x go-v0.17;pass;
20;rust-v0.47.0 x go-v0.11;pass;
21;rust-v0.46.0 x rust-v0.45.1;pass;
22;rust-v0.46.0 x rust-v0.44.0;pass;
23;rust-v0.46.0 x go-master;pass;
24;rust-v0.46.0 x go-v0.22;pass;
25;rust-v0.46.0 x go-v0.21;pass;
26;rust-v0.46.0 x go-v0.20;pass;
27;rust-v0.46.0 x go-v0.19;pass;
28;rust-v0.46.0 x go-v0.17;pass;
29;rust-v0.46.0 x go-v0.11;pass;
30;rust-v0.45.1 x rust-v0.44.0;pass;
31;rust-v0.45.1 x go-master;pass;
32;rust-v0.45.1 x go-v0.22;pass;
33;rust-v0.45.1 x go-v0.21;pass;
34;rust-v0.45.1 x go-v0.20;pass;
35;rust-v0.45.1 x go-v0.19;pass;
36;rust-v0.45.1 x go-v0.17;pass;
37;rust-v0.45.1 x go-v0.11;pass;
38;rust-v0.44.0 x go-master;pass;
39;rust-v0.44.0 x go-v0.22;pass;
40;rust-v0.44.0 x go-v0.21;pass;
41;rust-v0.44.0 x go-v0.20;pass;
42;rust-v0.44.0 x go-v0.19;pass;
43;rust-v0.44.0 x go-v0.17;pass;
44;rust-v0.44.0 x go-v0.11;pass;
45;go-master x go-v0.22;pass;
46;go-master x go-v0.21;pass;
47;go-master x go-v0.20;pass;
48;go-master x go-v0.19;pass;
49;go-master x go-v0.17;pass;
50;go-master x go-v0.11;pass;
51;go-v0.22 x go-v0.21;pass;
52;go-v0.22 x go-v0.20;pass;
53;go-v0.22 x go-v0.19;pass;
54;go-v0.22 x go-v0.17;pass;
55;go-v0.22 x go-v0.11;pass;
56;go-v0.21 x go-v0.20;pass;
57;go-v0.21 x go-v0.19;pass;
58;go-v0.21 x go-v0.17;pass;
59;go-v0.21 x go-v0.11;pass;
60;go-v0.20 x go-v0.19;pass;
61;go-v0.20 x go-v0.17;pass;
62;go-v0.20 x go-v0.11;pass;
63;go-v0.19 x go-v0.17;pass;
64;go-v0.19 x go-v0.11;pass;
65;go-v0.17 x go-v0.11;pass;
